Name,Team,playerId,goals,assists,shots,hits,blocks,Faceoff Wins,Faceoff Losses,Penalties Taken,Penalties Drawn,points,Faceoffs Taken,Faceoff Percentage
Claude Giroux,OTT,8473512.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,7.0,0.42857142857142855
Fabian Zetterlund,OTT,8480188.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Artem Zub,OTT,8482245.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Tim Stützle,OTT,8482116.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,6.0,0.5
Jake Sanderson,OTT,8482105.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,
Tyler Kleven,OTT,8482095.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ridly Greig,OTT,8482092.0,0.0,3.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,3.0,5.0,0.0
Jordan Spence,OTT,8481606.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shane Pinto,OTT,8481596.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,11.0,0.36363636363636365
Dylan Cozens,OTT,8481528.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,6.0,0.16666666666666666
David Perron,OTT,8474102.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,
Drake Batherson,OTT,8480208.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.3333333333333333
Brady Tkachuk,OTT,8480801.0,1.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0
Nick Cousins,OTT,8476393.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,
Thomas Chabot,OTT,8478469.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Lars Eller,OTT,8474189.0,0.0,0.0,0.0,0.0,1.0,5.0,9.0,0.0,0.0,0.0,14.0,0.35714285714285715
Nick Jensen,OTT,8475324.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,
Vincent Trocheck,NYR,8476389.0,0.0,0.0,0.0,3.0,0.0,9.0,4.0,2.0,0.0,0.0,13.0,0.6923076923076923
Noah Laba,NYR,8483690.0,1.0,0.0,0.0,2.0,1.0,4.0,5.0,1.0,0.0,1.0,9.0,0.4444444444444444
Brennan Othmann,NYR,8482747.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Scott Morrow,NYR,8482666.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Will Cuylle,NYR,8482157.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.6666666666666666
Alexis Lafrenière,NYR,8482109.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,
Sam Carrick,NYR,8475842.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,8.0,0.875
Will Borgen,NYR,8478840.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,
Vladislav Gavrikov,NYR,8478882.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Braden Schneider,NYR,8482073.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mika Zibanejad,NYR,8476459.0,0.0,2.0,5.0,1.0,1.0,7.0,4.0,0.0,0.0,2.0,11.0,0.6363636363636364
J.T. Miller,NYR,8476468.0,0.0,2.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0,2.0,9.0,0.6666666666666666
Carson Soucy,NYR,8477369.0,0.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,
Matthew Robertson,NYR,8481525.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jonny Brodzinski,NYR,8477380.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Artemi Panarin,NYR,8478550.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Gabe Perreault,NYR,8484210.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
