assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,franchise_id
44,21,46,0.52555,1,82,33,Suzuki,1,36,8480018,-14,77,0.93902,C,12,31,20232024,0,0,0.17837,R,185,Nick Suzuki,MTL,1275.8414,1
37,19,44,0.4375,7,82,28,Caufield,3,16,8481540,-4,65,0.79268,R,9,21,20232024,0,0,0.08917,R,314,Cole Caufield,MTL,1165.2317,1
51,4,32,,0,82,11,Matheson,0,58,8476875,-24,62,0.75609,D,5,28,20232024,2,2,0.05882,L,187,Mike Matheson,MTL,1533.1707,1
30,14,36,0.5,2,82,20,Slafkovský,0,55,8483515,-19,50,0.60975,L,6,14,20232024,0,0,0.13157,L,152,Juraj Slafkovský,MTL,1076.1463,1
22,5,17,0.55034,3,49,13,Monahan,0,10,8477497,-10,35,0.71428,C,6,16,20232024,2,2,0.125,L,104,Sean Monahan,"MTL,WPG",1107.2857,1
19,13,26,0.46544,2,55,15,Newhook,0,18,8481618,-11,34,0.61818,C,2,8,20232024,0,0,0.17647,L,85,Alex Newhook,MTL,1015.5818,1
15,15,27,0.41176,2,77,16,Gallagher,0,74,8475848,-24,31,0.40259,R,1,4,20232024,0,0,0.10389,R,154,Brendan Gallagher,MTL,827.4415,1
21,6,27,0.52154,1,82,7,Evans,0,24,8478133,-1,28,0.34146,C,0,0,20232024,1,1,0.08641,R,81,Jake Evans,MTL,961.0975,1
8,15,23,0.3125,3,66,17,Armia,0,34,8476469,4,25,0.37878,R,0,0,20232024,2,2,0.1223,R,139,Joel Armia,MTL,933.0909,1
18,6,24,,0,60,6,Savard,0,24,8475233,-1,24,0.4,D,0,0,20232024,0,0,0.11111,R,54,David Savard,MTL,1214.4833,1
16,6,22,,1,70,6,Guhle,1,56,8482087,-8,22,0.31428,D,0,0,20232024,0,0,0.06315,L,95,Kaiden Guhle,MTL,1251.0428,1
11,9,18,0.48387,0,78,9,Anderson,0,74,8476981,-18,20,0.25641,R,0,2,20232024,0,0,0.06382,R,141,Josh Anderson,MTL,927.8076,1
